Technology,Keywords
detection capability,['detection capability']
diagnostic imagery,['diagnostic imagery']
dynamic network resource allocation,['dynamic network resource allocation']
eal-6,['eal-6']
end-to-end latency,['end-to-end latency']
fdma,['fdma']
geo-fencing,['geo-fencing']
ground vehicles,['ground vehicles']
human effectiveness,['human effectiveness']
inclinometer,['inclinometer']
joint sparsity,['joint sparsity']
jpeg2000,['jpeg2000']
lfmcw,['lfmcw']
machinery control systems,['machinery control systems']
masking signal,['masking signal']
massive parallelism,['massive parallelism']
near-to-eye (nte) display,['near-to-eye (nte) display']
network sensors,['network sensors']
ooda decision making,['ooda decision making']
rf cartography learning,['rf cartography learning']
rso classifying,['rso classifying']
satellite characterization,['satellite characterization']
semantic alignment,['semantic alignment']
shim layer,['shim layer']
toa fusion,['toa fusion']
aircraft canopy,['aircraft canopy']
aircraft fluid,['aircraft fluid']
air permeable,['air permeable']
barrier materials,['barrier materials']
blisk,['blisk']
critical safety/critical application items,['critical safety/critical application items']
cross-link,['cross-link']
cyrotank,['cyrotank']
discrete parts,['discrete parts']
discrete-parts,['discrete-parts']
dla aviation,['dla aviation']
dla emall,['dla emall']
dla land and maritime,['dla land and maritime']
electromagnetic materials,['electromagnetic materials']
electrospray deposition,['electrospray deposition']
epoxy primer,['epoxy primer']
erosion resistant,['erosion resistant']
extensometer,['extensometer']
fiber coupled module,['fiber coupled module']
flexible module,['flexible module']
flexible photovoltaic,['flexible photovoltaic']
flexible photovoltaics,['flexible photovoltaics']
h2 hose,['h2 hose']
high burst strength,['high burst strength']
intermixing,['intermixing']
metal-insulator-metal (mim) devices,['metal-insulator-metal (mim) devices']
mlfma,['mlfma']
nanomembrane,['nanomembrane']
online monitoring,['online monitoring']
passive optics,['passive optics']
perfluorooctanesulfonic acid (pfos),['perfluorooctanesulfonic acid (pfos)']
pulmonary function sensor,['pulmonary function sensor']
rad hard electronics,['rad hard electronics']
radio frequency (rf) material characterization,['radio frequency (rf) material characterization']
radio frequency transparent,['radio frequency transparent']
rf material characterization,['rf material characterization']
silicon modulator,['silicon modulator']
smoke and toxicity resistant,['smoke and toxicity resistant']
strain measurement,['strain measurement']
stretch fabrics,['stretch fabrics']
switches,['switches']
through hull communication,['through hull communication']
vibration dampening,['vibration dampening']
viscoelastic,['viscoelastic']
water tight,['water tight']
watertight,['watertight']
webvr,['webvr']
cyber exercises,['cyber exercises']
data tagging,['data tagging']
distributed modeling,['distributed modeling']
field-programmable gate array (fpga),['field-programmable gate array (fpga)']
gxp interoperatbility,['gxp interoperatbility']
high-bandwidth memory,['high-bandwidth memory']
technology risk,['technology risk']
vipar,['vipar']
aegis bmds,['aegis bmds']
wedge lock,['wedge lock']
chemical diagnostics,['chemical diagnostics']
computational tool,['computational tool']
electrochemical modeling,['electrochemical modeling']
fuel reformer,['fuel reformer']
ischemic extremity,['ischemic extremity']
silicon on sapphire,['silicon on sapphire']
thermal buffers,['thermal buffers']
battlefield stressors,['battlefield stressors']
burning,['burning']
cell,['cell']
combustor instability,['combustor instability']
destruct,['destruct']
dynamical instability,['dynamical instability']
endangered species act,['endangered species act']
endangered species monitoring,['endangered species monitoring']
equipment hoist,['equipment hoist']
fast cook-off mitigation,['fast cook-off mitigation']
fireball instrumentation,['fireball instrumentation']
fuel chemistry analysis,['fuel chemistry analysis']
heat flux sensors,['heat flux sensors']
helicopters,['helicopters']
hybrid photonic integrated circuits,['hybrid photonic integrated circuits']
instability,['instability']
laser process,['laser process']
led based piv,['led based piv']
materials-plasma interactions,['materials-plasma interactions']
multi-objective,['multi-objective']
multi-role missile,['multi-role missile']
noise attenuation,['noise attenuation']
organ on chip,['organ on chip']
particle field,['particle field']
printed circuit boards,"['printed circuit boards', 'pcb design and layout', 'electromagnetic interference and compatibility']"
pulse detonation engine,['pulse detonation engine']
rapid repair,['rapid repair']
refractivity,['refractivity']
robotic delayering,['robotic delayering']
rocket sprays,['rocket sprays']
skin temperature,['skin temperature']
turret designs,['turret designs']
directional antenna network,['directional antenna network']
e6,['e6']
evaluation.,['evaluation.']
geas,['geas']
gps anti-jam (aj),['gps anti-jam (aj)']
gps anti-jam antenna system,['gps anti-jam antenna system']
gps security,['gps security']
non-rotary platforms,['non-rotary platforms']
raim,['raim']
routing optimization,['routing optimization']
routing protocol selection,['routing protocol selection']
spoofing attacks,['spoofing attacks']
crash-worthy,['crash-worthy']
eaf,['eaf']
fire fighting equipment,['fire fighting equipment']
light-weighting,['light-weighting']
material selection,['material selection']
retractable,['retractable']
retractable suspension,['retractable suspension']
tire inflation,['tire inflation']
torsion bar,['torsion bar']
a2/ad,['a2/ad']
dynamic performance assessment,['dynamic performance assessment']
dynamic tailoring,['dynamic tailoring']
facilitation of stakeholder understanding,['facilitation of stakeholder understanding']
heterogeneous models,['heterogeneous models']
incremental asset performance modeling,['incremental asset performance modeling']
intelligent user interface,['intelligent user interface']
plan assessment,['plan assessment']
player log,['player log']
scene recognition,['scene recognition']
soar,['soar']
terrain avoidance),terrain avoidance)
time-series,['time-series']
content mining,['content mining']
multi-document summarization,['multi-document summarization']
object oriented bayes nets,['object oriented bayes nets']
relational algorithms,['relational algorithms']
semantic parsing,['semantic parsing']
space vehicle guidance &amp,['space vehicle guidance &amp']
variational equations,['variational equations']
video search,['video search']
loads test,['loads test']
virtual flight testing,['virtual flight testing']
68w,['68w']
virtual humans,['virtual humans']
behavior mining,['behavior mining']
cognit,['cognit']
cognitive agents,['cognitive agents']
concept formation,['concept formation']
cyber others,['cyber others']
cyberspace training,['cyberspace training']
dialogue management,['dialogue management']
electronic maneuver warfare,['electronic maneuver warfare']
explainable machine learning,['explainable machine learning']
fixed-wing,['fixed-wing']
fully interoperable models and simulations,['fully interoperable models and simulations']
game environment,['game environment']
handoff protocol,['handoff protocol']
heterogenous robot teams,['heterogenous robot teams']
house of quality,['house of quality']
human-robot interaction (hri),['human-robot interaction (hri)']
human robot interface,['human robot interface']
intent estimation,['intent estimation']
interventions,['interventions']
measurement evaluation,['measurement evaluation']
mission reasoning,['mission reasoning']
natural interaction,['natural interaction']
operations analysis,['operations analysis']
operator control unit,['operator control unit']
operator control units,['operator control units']
organizational wisdom,['organizational wisdom']
performance constraints,['performance constraints']
ready relevant learning,['ready relevant learning']
rotor-wing,['rotor-wing']
sailor 2025,['sailor 2025']
storygraphs,['storygraphs']
tablet application design and development,['tablet application design and development']
tacco,['tacco']
tactical behavior model,['tactical behavior model']
training and readiness,['training and readiness']
training framework,['training framework']
vbs2,['vbs2']
virtual-inertial measurement unit (imu),['virtual-inertial measurement unit (imu)']
virtual imu v-imu,['virtual imu v-imu']
virtual instruction,['virtual instruction']
decision support systems,"['decision support systems', 'data analytics', 'data warehouses', 'online analytical processing', 'expert systems']"
absorption and scattering study - advanced modeling,['absorption and scattering study - advanced modeling']
advanced refactoring,['advanced refactoring']
after-action review,['after-action review']
analyst notebook,['analyst notebook']
and avoid radar,['and avoid radar']
api hooking,['api hooking']
automatic test and re-test,['automatic test and re-test']
bridgewire,['bridgewire']
bug severity,['bug severity']
coalition,['coalition']
cognitive anthropology,['cognitive anthropology']
combat system test bed,['combat system test bed']
computer network defenses,['computer network defenses']
continuous digital intermediate frequ,['continuous digital intermediate frequ']
cooperative sensing,['cooperative sensing']
cross-referencing,['cross-referencing']
crypto-partitioning,['crypto-partitioning']
cyber certification,['cyber certification']
cyber threat assessment,['cyber threat assessment']
dds security,['dds security']
digital thread modeling environment (dtme),['digital thread modeling environment (dtme)']
direct band pass under sampling (dbpu),['direct band pass under sampling (dbpu)']
display conops,['display conops']
distributed system,['distributed system']
fault detection localization isolation,['fault detection localization isolation']
idt,['idt']
image storage,['image storage']
intelligent data positioning,['intelligent data positioning']
intel xeon phi,['intel xeon phi']
ip radios,['ip radios']
llvm,['llvm']
memory architecture,['memory architecture']
mission-critical information,['mission-critical information']
mission relevant imagery,['mission relevant imagery']
?mobile sensor network,?mobile sensor network
model based development (mbd),['model based development (mbd)']
multi-element integration testing (meit),['multi-element integration testing (meit)']
multiple-input multiple-output (mimo) radar,['multiple-input multiple-output (mimo) radar']
multiple security levels,['multiple security levels']
nanosensor,['nanosensor']
open computing language (opencl),['open computing language (opencl)']
performance enhancing proxy (pep),['performance enhancing proxy (pep)']
performance testing,['performance testing']
predictive data mining,['predictive data mining']
?reconfigurable antenna systems,?reconfigurable antenna systems
regression testing,['regression testing']
release,['release']
requirements development,['requirements development']
reuse of capability based software,['reuse of capability based software']
rfview,['rfview']
risk reduction for navy programs,['risk reduction for navy programs']
role,['role']
ruggedized eight-channel exciter,['ruggedized eight-channel exciter']
satellite operations center (soc),['satellite operations center (soc)']
scap,['scap']
software analysis,['software analysis']
software anti-fragility,['software anti-fragility']
software reliability,['software reliability']
software test automation,['software test automation']
spawar,['spawar']
strategic surprise.,['strategic surprise.']
traffic filters,['traffic filters']
t-scan t-scanr,['t-scan t-scanr']
virtual presence,['virtual presence']
virtualized systems,['virtualized systems']
army rgt / afscn / nasa nen interoperability,['army rgt / afscn / nasa nen interoperability']
autonomous spacecraft operations,['autonomous spacecraft operations']
code-division multiple access (cdma) waveform,['code-division multiple access (cdma) waveform']
miniature encryption,['miniature encryption']
network isolation,['network isolation']
nuclear weapon effects,['nuclear weapon effects']
software programmable,['software programmable']
s / x / ka bands,['s / x / ka bands']
waic,['waic']
am product quality,['am product quality']
virtual lab,['virtual lab']
autoclave process,['autoclave process']
composite damage analysis,['composite damage analysis']
damage growth,['damage growth']
direct current potential drop (dcpd),['direct current potential drop (dcpd)']
direct strain imaging,['direct strain imaging']
failure analysis.,['failure analysis.']
helicopter dynamics model,['helicopter dynamics model']
lcf and hcf loading,['lcf and hcf loading']
load measurement,['load measurement']
local mesh adaptivity,['local mesh adaptivity']
machine learning.,['machine learning.']
modified impedance tags,['modified impedance tags']
modular test rig,['modular test rig']
mo-si-b,['mo-si-b']
response surface optimization,['response surface optimization']
thermo-mechanical modeling and simulation,['thermo-mechanical modeling and simulation']
virtual machine vm,['virtual machine vm']
computer security,['computer security']
image management software,['image management software']
software quality,['software quality']
system management,"['system management', 'quality assurance', 'technology audits', 'centralization / decentralization']"
technology trend analysis,['technology trend analysis']
vr (virtual reality),['vr (virtual reality)']
virtual maintenance training,['virtual maintenance training']
autonomous collaborative agents,['autonomous collaborative agents']
cognitive readiness,['cognitive readiness']
cyber targeting,['cyber targeting']
humanitarian assistance,['humanitarian assistance']
information-search burden,['information-search burden']
intuitive teamwork skills,['intuitive teamwork skills']
material handling equipment,['material handling equipment']
measurement development,['measurement development']
motion analysis,['motion analysis']
navy aviation training,['navy aviation training']
network pattern matching,['network pattern matching']
objective evaluation,['objective evaluation']
pomdps,['pomdps']
problem solving,['problem solving']
sensor o,['sensor o']
sigint training,['sigint training']
task allocation.,['task allocation.']
temporal visualization,['temporal visualization']
unmanned vehicle contr,['unmanned vehicle contr']
voice control,['voice control']
virtual model,['virtual model']
virtual printer,['virtual printer']
computed tomography (ct),['computed tomography (ct)']
corrosion inspection,['corrosion inspection']
electroless nickel,['electroless nickel']
engineering support activity,['engineering support activity']
friction burns,['friction burns']
laser melt,['laser melt']
lpbf,['lpbf']
reaming,['reaming']
virtual prototyping,['virtual prototyping']
epitaxial growth,['epitaxial growth']
virtual reactor modeling,['virtual reactor modeling']
flexible supply chain,['flexible supply chain']
360 fov,['360 fov']
and mixed reality (vamr),['and mixed reality (vamr)']
autonomous robotics,['autonomous robotics']
autonomous ship,['autonomous ship']
beam stabilizer,['beam stabilizer']
behavioral economics,['behavioral economics']
behavior assessment,['behavior assessment']
behavior-based decision making,['behavior-based decision making']
built-in cyber security,['built-in cyber security']
causal influence models,['causal influence models']
cause and effect analysis,['cause and effect analysis']
coa evaluation,['coa evaluation']
cognitive behavioral therapy (cbt),['cognitive behavioral therapy (cbt)']
cognitive systems engineering (cse),['cognitive systems engineering (cse)']
combinatorial search,['combinatorial search']
complex event processing,['complex event processing']
component aerodynamics,['component aerodynamics']
computer-based instructor training,['computer-based instructor training']
continuous-time modeling,['continuous-time modeling']
course of action assessment,['course of action assessment']
director agent,['director agent']
discrete event simulation,['discrete event simulation']
display techniques,['display techniques']
documentation,['documentation']
dynamic positioning,['dynamic positioning']
educational assessment,['educational assessment']
electrodermal activity,['electrodermal activity']
emotional state monitoring,['emotional state monitoring']
emp immunity,['emp immunity']
end user device,['end user device']
evolvable systems,['evolvable systems']
expeditionary operations,['expeditionary operations']
face detection,['face detection']
fatigue monitoring,['fatigue monitoring']
fire control algorithms,['fire control algorithms']
flood warning system,['flood warning system']
frequency comb generation,['frequency comb generation']
fusion evaluation,['fusion evaluation']
game design lenses,['game design lenses']
heads-up-display (hud),['heads-up-display (hud)']
high g electronics,['high g electronics']
holographic optical element,['holographic optical element']
human performance modeling,['human performance modeling']
increasing transmission throughput,['increasing transmission throughput']
instructor training,['instructor training']
isr tasking,['isr tasking']
jpo iop,['jpo iop']
jsars,['jsars']
knowledge engineering,['knowledge engineering']
knowledge extraction,['knowledge extraction']
lifi,['lifi']
lightfield display,['lightfield display']
long range imaging,['long range imaging']
low-drag,['low-drag']
low probability of interception,['low probability of interception']
manage,['manage']
marketplace-bidding,['marketplace-bidding']
mega-city,['mega-city']
mental acuity,['mental acuity']
mixed reality (mr),['mixed reality (mr)']
multi-criteria optimization,['multi-criteria optimization']
multifactor,['multifactor']
multi-level data storage technology,['multi-level data storage technology']
natural language generation,['natural language generation']
near-real time,['near-real time']
network attack detection and recovery,['network attack detection and recovery']
night vision goggle,['night vision goggle']
nosis,['nosis']
objective assessment,['objective assessment']
pedestrian detection,['pedestrian detection']
physical conditioning,['physical conditioning']
pico display engine,['pico display engine']
pilot vehicle interfaces,['pilot vehicle interfaces']
plasma antennas,['plasma antennas']
polarizer-on-pixel,['polarizer-on-pixel']
practice,['practice']
predictive medicine,['predictive medicine']
primary assessment,['primary assessment']
probabilistic sensor fusion,['probabilistic sensor fusion']
production management decision support,['production management decision support']
prognostic maintenance,['prognostic maintenance']
qoi,['qoi']
relative reference sensor system (r2s2),['relative reference sensor system (r2s2)']
remote video,['remote video']
robust command and control,['robust command and control']
scenario-based training,['scenario-based training']
search-and-rescue,['search-and-rescue']
semi-automated network construction,['semi-automated network construction']
sequence learning,['sequence learning']
s) framework that defines a common environment to allow for the connection of models representing phenomenology,s) framework that defines a common environment to allow for the connection of models representing phenomenology
situated ai,['situated ai']
situational assessment,['situational assessment']
skill model,['skill model']
social media analytics,['social media analytics']
social networks,['social networks']
soldier load,['soldier load']
space and missile defense,['space and missile defense']
spatial registration,['spatial registration']
squad platoon,['squad platoon']
sum product network,['sum product network']
surf zone model,['surf zone model']
survivable electronics,['survivable electronics']
tablet,['tablet']
tacit knowledge,['tacit knowledge']
tactical commander support tools,['tactical commander support tools']
threat sensor,['threat sensor']
tonpilz transducer,['tonpilz transducer']
video-based instructor training,['video-based instructor training']
physical security assessment,['physical security assessment']
virtual reality training,['virtual reality training']
virtual retina display,['virtual retina display']
aerial sensor,['aerial sensor']
aircraft countermeasure,['aircraft countermeasure']
arinc-818,['arinc-818']
data transmission,['data transmission']
form-fit-function,['form-fit-function']
laser projection microdisplay,['laser projection microdisplay']
ocean monitoring,['ocean monitoring']
position indicator,['position indicator']
scuba diving,['scuba diving']
surface,['surface']
ultralow power,['ultralow power']
warfighter interface,['warfighter interface']
virtual retinal display,['virtual retinal display']
alternative navigation,['alternative navigation']
virtual rf environment,['virtual rf environment']
augmented pnt,['augmented pnt']
rf environment broadcasting,['rf environment broadcasting']
virtual scenario authoring,['virtual scenario authoring']
atmospheric sensors,['atmospheric sensors']
authorship,['authorship']
aviation training,['aviation training']
behavioral game theory,['behavioral game theory']
conversational personal assistant,['conversational personal assistant']
diagnostic visualization,['diagnostic visualization']
immersive multimodal workspace,['immersive multimodal workspace']
individualized adaptive training,['individualized adaptive training']
injury reduction,['injury reduction']
intelligent sensor allocation,['intelligent sensor allocation']
motion classification models,['motion classification models']
multi-media training,['multi-media training']
optimized display,['optimized display']
pattern-of-life analysis,['pattern-of-life analysis']
personalized training,['personalized training']
physical fitness tracking,['physical fitness tracking']
piracy,['piracy']
quantitative training pipeline,['quantitative training pipeline']
scenario-based team training,['scenario-based team training']
sensor-agnostic,['sensor-agnostic']
simulator fidelity,['simulator fidelity']
students of culture,['students of culture']
training effectiveness assessment,['training effectiveness assessment']
trauma casualty care,['trauma casualty care']
user-defined relevance,['user-defined relevance']
user experience design,['user experience design']
application provisioning,['application provisioning']
virtual secure enclave,['virtual secure enclave']
data downgrade or sanitization,['data downgrade or sanitization']
operational transform,['operational transform']
virtual shooter,['virtual shooter']
security assessment,['security assessment']
virtual tabletop,['virtual tabletop']
virtual targets,['virtual targets']
virtual task trainer,['virtual task trainer']
centrality,['centrality']
ground control station ui,['ground control station ui']
linter-level link,['linter-level link']
panoramic camera,['panoramic camera']
signal to noise ratio,['signal to noise ratio']
virtual training,['virtual training']
asr,['asr']
automated scenario generation,['automated scenario generation']
autonomous fire control,['autonomous fire control']
cognitive architectures,['cognitive architectures']
cognitive bias,['cognitive bias']
cyber awareness,['cyber awareness']
effectiveness,['effectiveness']
effects planning,['effects planning']
geographic information systems,['geographic information systems']
health communications,['health communications']
intelligent scenario adaptation,['intelligent scenario adaptation']
knowledge-based system,['knowledge-based system']
learner modeling,['learner modeling']
learning space theory,['learning space theory']
medical handoffs,['medical handoffs']
mishap,['mishap']
multi-media resources,['multi-media resources']
multi-modal interface,['multi-modal interface']
p-8a poseidon,['p-8a poseidon']
simulation generation,['simulation generation']
swarm engineering,['swarm engineering']
system testing and certification,['system testing and certification']
the department of defense has a number of goals focused on automating robotic platforms (e.g.,the department of defense has a number of goals focused on automating robotic platforms (e.g.
all-weather celestial compass,['all-weather celestial compass']
virtul reality(vr),['virtul reality(vr)']
coherent optical transmitter array,['coherent optical transmitter array']
cvc sic?,['cvc sic?']
eye-tracker,['eye-tracker']
gigabit data rates,['gigabit data rates']
mixed-augmented reality,['mixed-augmented reality']
test strip,['test strip']
3d pattern,['3d pattern']
aerodynamic decelerator,['aerodynamic decelerator']
chem-bio protection,['chem-bio protection']
conductive transparent electrodes,['conductive transparent electrodes']
fermi wavelength,['fermi wavelength']
fine-features,['fine-features']
head impact protection,['head impact protection']
ied protection,['ied protection']
increased competition,['increased competition']
reactive deposition,['reactive deposition']
respiration rate sensor,['respiration rate sensor']
selectivity,['selectivity']
stockpile,['stockpile']
viscosity,['viscosity']
advanced power management system architecture,['advanced power management system architecture']
airborne directed energy weapons,['airborne directed energy weapons']
behavior management,['behavior management']
casevac kit,['casevac kit']
electro-muscular disruption (emd),['electro-muscular disruption (emd)']
field threats detection,['field threats detection']
five part wbc differentiation,['five part wbc differentiation']
interfacial conductivity,['interfacial conductivity']
nanostructure materials,['nanostructure materials']
piezoresistive,['piezoresistive']
satellite servicing payload,['satellite servicing payload']
solid-state power,['solid-state power']
structural instability.,['structural instability.']
transfusion screening,['transfusion screening']
two dimensional materials,['two dimensional materials']
variable control propulsion system,['variable control propulsion system']
viscous analysis,['viscous analysis']
bearing only positioning,['bearing only positioning']
e),e)
ip radio,['ip radio']
sound identification,['sound identification']
tier 2,['tier 2']
viscous simulations,['viscous simulations']
model reduction,['model reduction']
pilot-in-the-loop simulator,['pilot-in-the-loop simulator']
reduced-order modeling,['reduced-order modeling']
viscous turbulent skin friction reduction,['viscous turbulent skin friction reduction']
elastic fuselage,['elastic fuselage']
viscous vortex particle method,['viscous vortex particle method']
finite state inflow dynamics,['finite state inflow dynamics']
vishing detection,['vishing detection']
audio authentication,['audio authentication']
155 mm projectile,['155 mm projectile']
visibility   analysis,['visibility   analysis']
automated video processing,['automated video processing']
blur classification,['blur classification']
detection from space,['detection from space']
distributed learning,['distributed learning']
driving simulators,['driving simulators']
dual polarization,['dual polarization']
effects delivery,['effects delivery']
efficient generation of high fidelity 3d terrain models,['efficient generation of high fidelity 3d terrain models']
emitter geolocalization,['emitter geolocalization']
fading,['fading']
fingerprint-aided tracking 4/26/2011 per pm changed from rejected to selected./pr,['fingerprint-aided tracking 4/26/2011 per pm changed from rejected to selected./pr']
frequency difference-of-arrival (fdoa),['frequency difference-of-arrival (fdoa)']
gps-based attitude,['gps-based attitude']
high-q,['high-q']
intercept assessment,['intercept assessment']
joint precision approach and landing system (jpals),['joint precision approach and landing system (jpals)']
jump markov systems,['jump markov systems']
mobile processor,['mobile processor']
neural turing machines,['neural turing machines']
order-of-battle,['order-of-battle']
selective availability anti-spoof module (saasm),['selective availability anti-spoof module (saasm)']
sequential sampling,['sequential sampling']
signals of opportunity (soop),['signals of opportunity (soop)']
tactical cloud-based infrastructure,['tactical cloud-based infrastructure']
umnanned grou,['umnanned grou']
virtual 3d model,['virtual 3d model']
cavity ringdown spectroscopy,['cavity ringdown spectroscopy']
visibility sensor,['visibility sensor']
aerial layer cloud,['aerial layer cloud']
air-sea interface,['air-sea interface']
alert system,['alert system']
assay,['assay']
auto-calibration,['auto-calibration']
autoencoders,['autoencoders']
back projection,['back projection']
blur estimation,['blur estimation']
cfpa,['cfpa']
cmos sensor,['cmos sensor']
coriolis vibratory gyroscope (cvg),['coriolis vibratory gyroscope (cvg)']
correlation tracking,['correlation tracking']
cross-calibration,['cross-calibration']
day/night imaging,['day/night imaging']
diffuse,['diffuse']
dim-target detection,['dim-target detection']
direct simulation monte carlo,['direct simulation monte carlo']
efficient digital elevation model (dem) generation techniques,['efficient digital elevation model (dem) generation techniques']
high altitude plumes,['high altitude plumes']
high definition (hd) video,['high definition (hd) video']
hybrid flow methods,['hybrid flow methods']
improved position and azimuth determining system (ipads),['improved position and azimuth determining system (ipads)']
jsis,['jsis']
low elevation angle uhf mast antenna,['low elevation angle uhf mast antenna']
matching networks,['matching networks']
missile detection,['missile detection']
multifunctional information distribution system (mids),['multifunctional information distribution system (mids)']
multiple-target tracking,['multiple-target tracking']
multi-source image fusion,['multi-source image fusion']
nanorod,['nanorod']
optical guidance,['optical guidance']
polarization measurement,['polarization measurement']
radiation transport    plumes    spectral signature    simulation    missile    model    flow field    flites   spurc,['radiation transport    plumes    spectral signature    simulation    missile    model    flow field    flites   spurc']
relay node,['relay node']
resolution targets,['resolution targets']
rf-over-fiber,['rf-over-fiber']
sar/sal testbed,['sar/sal testbed']
signature-aided tracking,['signature-aided tracking']
sky characterization,['sky characterization']
skylight polarization,['skylight polarization']
spectral and spatial fovea,['spectral and spatial fovea']
spectral and spatial fovea.,['spectral and spatial fovea.']
temperature and velocity,['temperature and velocity']
time difference-of-arrival,['time difference-of-arrival']
unattended ground vehicles,['unattended ground vehicles']
unified model language,['unified model language']
variable capacitor,['variable capacitor']
vernier engine,['vernier engine']
vision-aided navigation,['vision-aided navigation']
visible and near infrared (vnir),['visible and near infrared (vnir)']
photon-counting integrated circuit (pcic),['photon-counting integrated circuit (pcic)']
turbine blade erosion,['turbine blade erosion']
visible emission,['visible emission']
visible human,['visible human']
cloud modeling,['cloud modeling']
coupled solver,['coupled solver']
in-the-loop,['in-the-loop']
overexposure,['overexposure']
printed circuit board (pcb),['printed circuit board (pcb)']
shape reconstruction,['shape reconstruction']
statistical albedo,['statistical albedo']
analysis algorithms,['analysis algorithms']
visible imagery,['visible imagery']
visible imaging,['visible imaging']
visible/ir obscuration,['visible/ir obscuration']
non-rayon carbon fibers,['non-rayon carbon fibers']
visible missile warning system,['visible missile warning system']
laser warning receiver,['laser warning receiver']
visible -mwir,['visible -mwir']
c/c,['c/c']
cvi,['cvi']
enhanced heat transfer surfaces,['enhanced heat transfer surfaces']
lithium-air batteries,['lithium-air batteries']
sic ceramic composites,['sic ceramic composites']
ceramic core,['ceramic core']
visible-mwir,['visible-mwir']
cmas compositions,['cmas compositions']
tests,['tests']
visible-near infrared (vis-nir),['visible-near infrared (vis-nir)']
shortwave infrared(swir),['shortwave infrared(swir)']
absnav,['absnav']
visible to near infrared,['visible to near infrared']
mpr,['mpr']
self-guidance,['self-guidance']
shoot-look-shoot,['shoot-look-shoot']
time resolved combustion measurements,['time resolved combustion measurements']
aim point offset,['aim point offset']
airborne contaminants,['airborne contaminants']
aviation fuels,['aviation fuels']
b6o,['b6o']
bird strike,['bird strike']
body conformal armor,['body conformal armor']
burn wound sterilization,['burn wound sterilization']
charge-discharge cycling,['charge-discharge cycling']
chemical and biological agent neutralization,['chemical and biological agent neutralization']
cognitive training,['cognitive training']
command and control agility,['command and control agility']
conning officer virtual environment (cove),['conning officer virtual environment (cove)']
content authoring,['content authoring']
corrosion inhibition,['corrosion inhibition']
customization,['customization']
cycle stability and capacity retention,['cycle stability and capacity retention']
dis/hla,['dis/hla']
electrochemical capacitors,['electrochemical capacitors']
embedded provenance,['embedded provenance']
energetic biocide,['energetic biocide']
enhanced performance,['enhanced performance']
extended solids,['extended solids']
external interface,['external interface']
force capabilities,['force capabilities']
freight,['freight']
graphical modeling framework,['graphical modeling framework']
human subjects research,['human subjects research']
hybrid structures,['hybrid structures']
initialization,['initialization']
intelligent tutoring system (its),['intelligent tutoring system (its)']
layered sensing,['layered sensing']
li-air battery,['li-air battery']
liquid ammonia electrolyte solvent,['liquid ammonia electrolyte solvent']
lithium batteries,['lithium batteries']
longitudinal blood sampling,['longitudinal blood sampling']
lso,['lso']
microfluidic device,['microfluidic device']
military deception,['military deception']
network metrics,['network metrics']
outbreak,['outbreak']
paper-based indicator,['paper-based indicator']
parallel operation,['parallel operation']
partially observable markov decision process,['partially observable markov decision process']
performance-based training,['performance-based training']
pharmacodynamics,['pharmacodynamics']
physiological markers of chromate exposure,['physiological markers of chromate exposure']
polymer electrolytes,['polymer electrolytes']
propellant management device,['propellant management device']
pulmonary injury,['pulmonary injury']
rapid-escape,['rapid-escape']
rapid evaluation of analysis techniques,['rapid evaluation of analysis techniques']
reusable medical devices,['reusable medical devices']
sample stabilization,['sample stabilization']
satellite capture,['satellite capture']
secondary batteries,['secondary batteries']
sikes act,['sikes act']
simulated environments,['simulated environments']
skill trees,['skill trees']
small combat unit operations,['small combat unit operations']
streaming data,['streaming data']
talent management,['talent management']
tankless,['tankless']
tetanization,['tetanization']
thermoacoustic projectors,['thermoacoustic projectors']
topical gel formulation,['topical gel formulation']
v2v,['v2v']
voc profiles,['voc profiles']
anti-access/area denial (a2/ad) environments,['anti-access/area denial (a2/ad) environments']
anti-jam gps,['anti-jam gps']
fast direct acquisition,['fast direct acquisition']
frequency-domain processing,['frequency-domain processing']
gps-challenged missions,['gps-challenged missions']
gps-degraded and gps-denied applications,['gps-degraded and gps-denied applications']
gps-degraded environment,['gps-degraded environment']
gps degraded navigation,['gps degraded navigation']
gps military codes,['gps military codes']
high-sensitivity gps,['high-sensitivity gps']
ins algorithmic correction,['ins algorithmic correction']
jamming suppression,['jamming suppression']
mitigation of gps jamming and spoofing,['mitigation of gps jamming and spoofing']
mitigation of outliers and clutter,['mitigation of outliers and clutter']
navigation under dense foliage,['navigation under dense foliage']
precise estimation of uncertainty,['precise estimation of uncertainty']
robust pnt in gnss-degraded environments,['robust pnt in gnss-degraded environments']
signal validation,['signal validation']
software-based performance enhancement,['software-based performance enhancement']
spoofing discrimination,['spoofing discrimination']
virtual antenna arrays,['virtual antenna arrays']
vision algorithm,['vision algorithm']
bulk filter software,['bulk filter software']
predicted intercept point,['predicted intercept point']
rf amplifier,['rf amplifier']
scheduling algorithm,['scheduling algorithm']
constructive use of interfering sources,['constructive use of interfering sources']
vision and lidar-aided inertial,['vision and lidar-aided inertial']
crpa processing,['crpa processing']
egi-m transitioning,['egi-m transitioning']
interference and jamming protection,['interference and jamming protection']
signal and measurement fusion,['signal and measurement fusion']
software defined receiver,['software defined receiver']
software radio approach with transitioning path to m-code,['software radio approach with transitioning path to m-code']
vision based targeting,['vision based targeting']
vision ecology,['vision ecology']
dispersion correction,['dispersion correction']
